'id',name_he,name_en,calories,protein,fat,carbs
a048568e-49a9-4c7a-b5af-e55c40e2384c,"מי גבינה, חומצי, נוזלי","Whey, acid, fluid",24,0.8,0.1,5.1
7162a709-796a-47fa-a46d-d45c8856881c,"בורגול, מבושל עם שעועית לבנה ועגבניות","Bulgur, cooked with white beans and tomatoes",112,5.3,1.7,15.3
1b6dec9e-ad1d-4f36-8338-d7a85991d146,חלב אם,"Milk, human",70,1,4.4,6.9
eaa39121-a874-4963-89e7-6e4d8ad41f9c,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה","Milk, cow, 3% fat",60,3.3,3,4.6
e5da6544-a195-4329-a549-73b0bf7974a3,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ","Milk, cow, 1% fat, fortified with calcium",42,3,1,4.6
e26ee57c-ef78-471c-a4e7-87f5e93ebbe7,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה","Milk, cow, 3% fat, fortified with calcium, Tnuva/Tara/Yotvata",58,3.2,3,4.6
9a73eb4b-26ef-41ff-b762-06c2d76886e5,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה","Milk, cow, 3% fat, fortified with vitamins, Yotvata",57,3,3,4.7
20e59e50-c95e-4ad4-8b32-2e9038d2d378,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה","Milk, cow, 1% fat, Tnuva/Tara/Harduf/Yotvata",43,3.3,1,5.1
afef1ecf-b696-41ab-82dc-3b8bd8660149,"משקה חלב בטעם וניל,3% שומן, טרה","Milk drink, 3% fat, vanilla/banana/mocha, Tara",86,2.5,3,12
ccb33732-f97b-4fe7-995c-15e361da4bbc,"חלב 2% שומן, כולל דל לקטוז, תנובה","Milk, cow, 3% fat, reduced lactose, Tnuva",51,3.2,2,4.9
19702c0a-84a6-446f-b1fa-4db68258da32,חלב עזים 4% שומן,"Milk, goat, fluid, whole",69,3.6,4.1,4.5
e5848a2c-f313-498e-be30-b7c5ad8c034d,"חלב עזים 3.7% שומן, צוריאל","Milk, goat, 3.7% fat, Tzuriel",66,3,3.7,4.7
ad609b48-eb10-4db6-9472-af1e7ae09679,חלב כבשים 7% שומן,"Milk, sheep, 7% fat",108,6,7,5.4
df0025c2-1cf9-42e4-adb3-97435555c4e8,חלב נאקות (גמלים),"Milk, camel",58,3.1,3,4.7
8575e93a-895f-4148-8de5-524bf3415580,"חלב מיובש, מלא, משוחזר","Milk, dry, reconstituted, whole",61,3.2,3.3,4.7
