name,unit,grams
"מי גבינה, חומצי, נוזלי",גרמים,1
"מי גבינה, חומצי, נוזלי",קילוגרם,1000
"בורגול, מבושל עם שעועית לבנה ועגבניות",גרמים,1
"בורגול, מבושל עם שעועית לבנה ועגבניות",מנה קטנה,90
"בורגול, מבושל עם שעועית לבנה ועגבניות",מנה בינונית,120
"בורגול, מבושל עם שעועית לבנה ועגבניות",מנה גדולה,175
"בורגול, מבושל עם שעועית לבנה ועגבניות",קילוגרם,1000
חלב אם,גרמים,1
חלב אם,קילוגרם,1000
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",כוס,240
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",כף,10
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",כפית,2.400000095
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",גרמים,1
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",שקית,1000
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",קרטון,1500
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",קרטון קטן,1000
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",קרטון גדול,2000
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",בקבוק,1000
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",בקבוק גדול,2000
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",קילוגרם,1000
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",כוס,240
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",כף,10
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",כפית,2.400000095
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",גרמים,1
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",קרטון,1000
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",קילוגרם,1000
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",כוס,240
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",כף,10
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",כפית,2.400000095
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",גרמים,1
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",שקית,1000
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",קרטון,1000
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",קילוגרם,1000
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",כוס,240
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",כף,10
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",כפית,2.400000095
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",גרמים,1
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",שקית,1000
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",קרטון,1000
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",קילוגרם,1000
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",כוס,240
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",כף,10
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",כפית,2.400000095
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",גרמים,1
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",שקית,1000
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",קרטון,1000
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",בקבוק,1000
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",בקבוק גדול,2000
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",קילוגרם,1000
"משקה חלב בטעם וניל,3% שומן, טרה",כוס,240
"משקה חלב בטעם וניל,3% שומן, טרה",גרמים,1
"משקה חלב בטעם וניל,3% שומן, טרה",קרטון,1000
"משקה חלב בטעם וניל,3% שומן, טרה",קרטון קטן,500
"משקה חלב בטעם וניל,3% שומן, טרה",קילוגרם,1000
"חלב 2% שומן, כולל דל לקטוז, תנובה",כוס,240
"חלב 2% שומן, כולל דל לקטוז, תנובה",כף,10
"חלב 2% שומן, כולל דל לקטוז, תנובה",כפית,2.400000095
"חלב 2% שומן, כולל דל לקטוז, תנובה",גרמים,1
